TRADEDATE,SECID,SHORTNAME,COUPON_TYPE,PLOT_GROUP,PRICE_FOR_ANALYSIS,YIELD_FOR_ANALYSIS,RATE_FOR_ANALYSIS,YEARS_TO_MATURITY,VALUE,key_rate,YIELD_KEY_RATE_SPREAD,RATE_KEY_RATE_SPREAD
2021-07-15,SU26240RMFS0,ОФЗ 26240,fixed,long,97.417,7.41,7.41,15.041752224503764,98573326.44,5.5,1.9100000000000001,1.9100000000000001
2021-07-16,SU26240RMFS0,ОФЗ 26240,fixed,long,97.8,7.37,7.37,15.039014373716633,1086556.7,5.5,1.87,1.87
2021-07-19,SU26240RMFS0,ОФЗ 26240,fixed,long,97.414,7.41,7.41,15.030800821355236,97798266.54,5.5,1.9100000000000001,1.9100000000000001
2021-07-20,SU26240RMFS0,ОФЗ 26240,fixed,long,97.46,7.41,7.41,15.028062970568104,53413199.72,5.5,1.9100000000000001,1.9100000000000001
2021-07-21,SU26240RMFS0,ОФЗ 26240,fixed,long,98.071,7.34,7.34,15.025325119780971,564890.75,5.5,1.8399999999999999,1.8399999999999999
2021-07-22,SU26240RMFS0,ОФЗ 26240,fixed,long,98.769,7.26,7.26,15.02258726899384,2471188.94,5.5,1.7599999999999998,1.7599999999999998
2021-07-23,SU26240RMFS0,ОФЗ 26240,fixed,long,99.615,7.16,7.16,15.019849418206707,37872623.58,5.5,1.6600000000000001,1.6600000000000001
2021-07-26,SU26240RMFS0,ОФЗ 26240,fixed,long,99.258,7.2,7.2,15.011635865845312,1323438.3,6.5,0.7000000000000002,0.7000000000000002
2021-07-27,SU26240RMFS0,ОФЗ 26240,fixed,long,99.092,7.22,7.22,15.00889801505818,562599496.13,6.5,0.7199999999999998,0.7199999999999998
2021-07-28,SU26240RMFS0,ОФЗ 26240,fixed,long,99.174,7.21,7.21,15.006160164271048,663022529.34,6.5,0.71,0.71
2021-07-29,SU26240RMFS0,ОФЗ 26240,fixed,long,99.422,7.18,7.18,15.003422313483917,235469507.5,6.5,0.6799999999999997,0.6799999999999997
2021-07-30,SU26240RMFS0,ОФЗ 26240,fixed,long,99.504,7.17,7.17,15.000684462696784,312456552.95,6.5,0.6699999999999999,0.6699999999999999
2021-08-02,SU26240RMFS0,ОФЗ 26240,fixed,long,99.597,7.16,7.16,14.992470910335388,5729016.71,6.5,0.6600000000000001,0.6600000000000001
2021-08-03,SU26240RMFS0,ОФЗ 26240,fixed,long,99.33,7.19,7.19,14.989733059548255,122965961.7,6.5,0.6900000000000004,0.6900000000000004
2021-08-04,SU26240RMFS0,ОФЗ 26240,fixed,long,99.198,7.21,7.21,14.986995208761122,93341796.53,6.5,0.71,0.71
2021-08-05,SU26240RMFS0,ОФЗ 26240,fixed,long,99.39,7.19,7.19,14.984257357973991,696214493.11,6.5,0.6900000000000004,0.6900000000000004
2021-08-06,SU26240RMFS0,ОФЗ 26240,fixed,long,99.415,7.18,7.18,14.981519507186858,67139114.81,6.5,0.6799999999999997,0.6799999999999997
2021-08-09,SU26240RMFS0,ОФЗ 26240,fixed,long,98.642,7.27,7.27,14.97330595482546,121222759.14,6.5,0.7699999999999996,0.7699999999999996
2021-08-10,SU26240RMFS0,ОФЗ 26240,fixed,long,98.432,7.3,7.3,14.97056810403833,143441966.78,6.5,0.7999999999999998,0.7999999999999998
