TRADEDATE,SECID,SHORTNAME,COUPON_TYPE,PLOT_GROUP,PRICE_FOR_ANALYSIS,YIELD_FOR_ANALYSIS,RATE_FOR_ANALYSIS,YEARS_TO_MATURITY,VALUE,key_rate,YIELD_KEY_RATE_SPREAD,RATE_KEY_RATE_SPREAD
2023-06-22,SU26243RMFS4,ОФЗ 26243,fixed,long,94.993,10.75,10.75,14.907597535934292,97006418.82,7.5,3.25,3.25
2023-06-23,SU26243RMFS4,ОФЗ 26243,fixed,long,95.372,10.69,10.69,14.90485968514716,87207404.17,7.5,3.1899999999999995,3.1899999999999995
2023-06-26,SU26243RMFS4,ОФЗ 26243,fixed,long,94.261,10.86,10.86,14.896646132785763,139413214.59,7.5,3.3599999999999994,3.3599999999999994
2023-06-27,SU26243RMFS4,ОФЗ 26243,fixed,long,94.816,10.77,10.77,14.89390828199863,46488082.22,7.5,3.2699999999999996,3.2699999999999996
2023-06-28,SU26243RMFS4,ОФЗ 26243,fixed,long,95.324,10.7,10.7,14.8911704312115,14380535.64,7.5,3.1999999999999993,3.1999999999999993
2023-06-29,SU26243RMFS4,ОФЗ 26243,fixed,long,95.826,10.63,10.63,14.888432580424366,40804780.6,7.5,3.130000000000001,3.130000000000001
2023-06-30,SU26243RMFS4,ОФЗ 26243,fixed,long,96.64,10.51,10.51,14.885694729637237,21386515.92,7.5,3.01,3.01
2023-07-03,SU26243RMFS4,ОФЗ 26243,fixed,long,98.697,10.22,10.22,14.877481177275838,10711592.74,7.5,2.7200000000000006,2.7200000000000006
2023-07-04,SU26243RMFS4,ОФЗ 26243,fixed,long,99.084,10.17,10.17,14.874743326488709,15602803.07,7.5,2.67,2.67
2023-07-05,SU26243RMFS4,ОФЗ 26243,fixed,long,101.367,9.86,9.86,14.872005475701574,26962603.5,7.5,2.3599999999999994,2.3599999999999994
2023-07-06,SU26243RMFS4,ОФЗ 26243,fixed,long,100.319,10.0,10.0,14.869267624914444,12716491.75,7.5,2.5,2.5
2023-07-07,SU26243RMFS4,ОФЗ 26243,fixed,long,100.804,9.93,9.93,14.86652977412731,8122791.48,7.5,2.4299999999999997,2.4299999999999997
2023-07-10,SU26243RMFS4,ОФЗ 26243,fixed,long,100.706,9.95,9.95,14.858316221765914,3202462.15,7.5,2.4499999999999993,2.4499999999999993
2023-07-11,SU26243RMFS4,ОФЗ 26243,fixed,long,99.232,10.15,10.15,14.85557837097878,19854276.04,7.5,2.6500000000000004,2.6500000000000004
2023-07-12,SU26243RMFS4,ОФЗ 26243,fixed,long,83.755,10.94,10.94,14.85284052019165,439312686.82,7.5,3.4399999999999995,3.4399999999999995
2023-07-13,SU26243RMFS4,ОФЗ 26243,fixed,long,93.694,10.94,10.94,14.850102669404516,91753945.43,7.5,3.4399999999999995,3.4399999999999995
2023-07-14,SU26243RMFS4,ОФЗ 26243,fixed,long,93.556,10.96,10.96,14.847364818617386,61562464.64,7.5,3.460000000000001,3.460000000000001
2023-07-17,SU26243RMFS4,ОФЗ 26243,fixed,long,93.247,11.01,11.01,14.839151266255987,350834237.24,7.5,3.51,3.51
2023-07-18,SU26243RMFS4,ОФЗ 26243,fixed,long,93.276,11.0,11.0,14.836413415468858,39905528.96,7.5,3.5,3.5
