TRADEDATE,SECID,SHORTNAME,COUPON_TYPE,PLOT_GROUP,PRICE_FOR_ANALYSIS,YIELD_FOR_ANALYSIS,RATE_FOR_ANALYSIS,YEARS_TO_MATURITY,VALUE,key_rate,YIELD_KEY_RATE_SPREAD,RATE_KEY_RATE_SPREAD
2023-01-26,SU26242RMFS6,ОФЗ 26242,fixed,long,96.943,9.86,9.86,6.590006844626968,412332789.22,7.5,2.3599999999999994,2.3599999999999994
2023-01-27,SU26242RMFS6,ОФЗ 26242,fixed,long,97.149,9.82,9.82,6.587268993839836,486938761.42,7.5,2.3200000000000003,2.3200000000000003
2023-01-30,SU26242RMFS6,ОФЗ 26242,fixed,long,97.731,9.69,9.69,6.579055441478439,14288260.37,7.5,2.1899999999999995,2.1899999999999995
2023-01-31,SU26242RMFS6,ОФЗ 26242,fixed,long,97.296,9.79,9.79,6.576317590691307,106055365.29,7.5,2.289999999999999,2.289999999999999
2023-02-01,SU26242RMFS6,ОФЗ 26242,fixed,long,98.746,9.47,9.47,6.573579739904175,13412682.44,7.5,1.9700000000000006,1.9700000000000006
2023-02-02,SU26242RMFS6,ОФЗ 26242,fixed,long,99.48,9.31,9.31,6.570841889117043,3084862.29,7.5,1.8100000000000005,1.8100000000000005
2023-02-03,SU26242RMFS6,ОФЗ 26242,fixed,long,100.111,9.17,9.17,6.568104038329911,2199436.09,7.5,1.67,1.67
2023-02-06,SU26242RMFS6,ОФЗ 26242,fixed,long,99.866,9.23,9.23,6.5598904859685145,24824732.32,7.5,1.7300000000000004,1.7300000000000004
2023-02-07,SU26242RMFS6,ОФЗ 26242,fixed,long,99.298,9.35,9.35,6.5571526351813825,229888278.04,7.5,1.8499999999999996,1.8499999999999996
2023-02-08,SU26242RMFS6,ОФЗ 26242,fixed,long,97.947,9.64,9.64,6.55441478439425,2275008009.92,7.5,2.1400000000000006,2.1400000000000006
2023-02-09,SU26242RMFS6,ОФЗ 26242,fixed,long,97.179,9.81,9.81,6.551676933607118,112020707.33,7.5,2.3100000000000005,2.3100000000000005
2023-02-10,SU26242RMFS6,ОФЗ 26242,fixed,long,97.179,9.81,9.81,6.548939082819986,285595423.63,7.5,2.3100000000000005,2.3100000000000005
2023-02-13,SU26242RMFS6,ОФЗ 26242,fixed,long,95.909,10.1,10.1,6.54072553045859,28022709.04,7.5,2.5999999999999996,2.5999999999999996
2023-02-14,SU26242RMFS6,ОФЗ 26242,fixed,long,96.456,9.98,9.98,6.537987679671458,68295412.43,7.5,2.4800000000000004,2.4800000000000004
2023-02-15,SU26242RMFS6,ОФЗ 26242,fixed,long,96.358,10.0,10.0,6.535249828884326,7765522.38,7.5,2.5,2.5
2023-02-16,SU26242RMFS6,ОФЗ 26242,fixed,long,96.321,10.01,10.01,6.532511978097194,9117763.32,7.5,2.51,2.51
2023-02-17,SU26242RMFS6,ОФЗ 26242,fixed,long,96.246,10.02,10.02,6.529774127310062,24088367.52,7.5,2.5199999999999996,2.5199999999999996
2023-02-20,SU26242RMFS6,ОФЗ 26242,fixed,long,96.449,9.98,9.98,6.521560574948666,18709231.59,7.5,2.4800000000000004,2.4800000000000004
2023-02-21,SU26242RMFS6,ОФЗ 26242,fixed,long,96.296,10.01,10.01,6.5188227241615335,37644840.29,7.5,2.51,2.51
2023-02-22,SU26242RMFS6,ОФЗ 26242,fixed,long,96.194,10.04,10.04,6.5160848733744015,54523122.25,7.5,2.539999999999999,2.539999999999999
2023-02-24,SU26242RMFS6,ОФЗ 26242,fixed,long,96.656,9.93,9.93,6.510609171800137,8632334.99,7.5,2.4299999999999997,2.4299999999999997
2023-02-27,SU26242RMFS6,ОФЗ 26242,fixed,long,96.305,10.01,10.01,6.50239561943874,79074299.12,7.5,2.51,2.51
2023-02-28,SU26242RMFS6,ОФЗ 26242,fixed,long,96.162,10.04,10.04,6.499657768651608,86256449.38,7.5,2.539999999999999,2.539999999999999
2023-03-01,SU26242RMFS6,ОФЗ 26242,fixed,long,96.199,10.04,10.04,6.496919917864476,112833166.45,7.5,2.539999999999999,2.539999999999999
2023-03-02,SU26242RMFS6,ОФЗ 26242,fixed,long,96.209,10.03,10.03,6.494182067077344,191529812.03,7.5,2.5299999999999994,2.5299999999999994
2023-03-03,SU26242RMFS6,ОФЗ 26242,fixed,long,96.078,10.06,10.06,6.491444216290212,391020425.6,7.5,2.5600000000000005,2.5600000000000005
2023-03-06,SU26242RMFS6,ОФЗ 26242,fixed,long,96.276,10.02,10.02,6.483230663928816,141375121.8,7.5,2.5199999999999996,2.5199999999999996
2023-03-07,SU26242RMFS6,ОФЗ 26242,fixed,long,96.488,9.97,9.97,6.480492813141684,29593748.73,7.5,2.4700000000000006,2.4700000000000006
2023-03-09,SU26242RMFS6,ОФЗ 26242,fixed,long,96.333,10.01,10.01,6.4750171115674195,202285835.87,7.5,2.51,2.51
2023-03-10,SU26242RMFS6,ОФЗ 26242,fixed,long,96.207,10.04,10.04,6.4722792607802875,64785645.53,7.5,2.539999999999999,2.539999999999999
2023-03-13,SU26242RMFS6,ОФЗ 26242,fixed,long,96.162,10.05,10.05,6.464065708418891,83610933.88,7.5,2.5500000000000007,2.5500000000000007
2023-03-14,SU26242RMFS6,ОФЗ 26242,fixed,long,96.174,10.04,10.04,6.461327857631759,311531763.16,7.5,2.539999999999999,2.539999999999999
2023-03-15,SU26242RMFS6,ОФЗ 26242,fixed,long,96.13,10.05,10.05,6.458590006844627,405155921.97,7.5,2.5500000000000007,2.5500000000000007
2023-03-16,SU26242RMFS6,ОФЗ 26242,fixed,long,96.219,10.03,10.03,6.455852156057495,29961578.32,7.5,2.5299999999999994,2.5299999999999994
2023-03-17,SU26242RMFS6,ОФЗ 26242,fixed,long,96.127,10.06,10.06,6.453114305270363,23901004.7,7.5,2.5600000000000005,2.5600000000000005
2023-03-20,SU26242RMFS6,ОФЗ 26242,fixed,long,96.14,10.05,10.05,6.444900752908967,18979342.0,7.5,2.5500000000000007,2.5500000000000007
2023-03-21,SU26242RMFS6,ОФЗ 26242,fixed,long,95.969,10.09,10.09,6.442162902121835,98705474.66,7.5,2.59,2.59
2023-03-22,SU26242RMFS6,ОФЗ 26242,fixed,long,95.942,10.1,10.1,6.439425051334703,121395100.79,7.5,2.5999999999999996,2.5999999999999996
2023-03-23,SU26242RMFS6,ОФЗ 26242,fixed,long,95.698,10.16,10.16,6.436687200547571,63849303.74,7.5,2.66,2.66
2023-03-24,SU26242RMFS6,ОФЗ 26242,fixed,long,95.806,10.13,10.13,6.433949349760438,68737270.87,7.5,2.630000000000001,2.630000000000001
2023-03-27,SU26242RMFS6,ОФЗ 26242,fixed,long,95.902,10.11,10.11,6.425735797399041,24851123.59,7.5,2.6099999999999994,2.6099999999999994
2023-03-28,SU26242RMFS6,ОФЗ 26242,fixed,long,95.877,10.12,10.12,6.422997946611909,132840068.48,7.5,2.619999999999999,2.619999999999999
2023-03-29,SU26242RMFS6,ОФЗ 26242,fixed,long,95.955,10.1,10.1,6.420260095824777,22218484.89,7.5,2.5999999999999996,2.5999999999999996
2023-03-30,SU26242RMFS6,ОФЗ 26242,fixed,long,95.919,10.11,10.11,6.417522245037645,98677341.09,7.5,2.6099999999999994,2.6099999999999994
2023-03-31,SU26242RMFS6,ОФЗ 26242,fixed,long,95.937,10.1,10.1,6.414784394250513,29948750.61,7.5,2.5999999999999996,2.5999999999999996
2023-04-03,SU26242RMFS6,ОФЗ 26242,fixed,long,95.941,10.1,10.1,6.406570841889117,32663970.07,7.5,2.5999999999999996,2.5999999999999996
2023-04-04,SU26242RMFS6,ОФЗ 26242,fixed,long,95.836,10.13,10.13,6.403832991101985,186028326.4,7.5,2.630000000000001,2.630000000000001
2023-04-05,SU26242RMFS6,ОФЗ 26242,fixed,long,95.709,10.16,10.16,6.401095140314853,51123998.41,7.5,2.66,2.66
2023-04-06,SU26242RMFS6,ОФЗ 26242,fixed,long,95.673,10.16,10.16,6.398357289527721,94860035.96,7.5,2.66,2.66
2023-04-07,SU26242RMFS6,ОФЗ 26242,fixed,long,95.552,10.19,10.19,6.395619438740589,191449815.05,7.5,2.6899999999999995,2.6899999999999995
2023-04-10,SU26242RMFS6,ОФЗ 26242,fixed,long,95.771,10.14,10.14,6.3874058863791925,19121710.57,7.5,2.6400000000000006,2.6400000000000006
2023-04-11,SU26242RMFS6,ОФЗ 26242,fixed,long,95.744,10.15,10.15,6.38466803559206,176400560.99,7.5,2.6500000000000004,2.6500000000000004
2023-04-12,SU26242RMFS6,ОФЗ 26242,fixed,long,95.65,10.17,10.17,6.381930184804928,163935368.27,7.5,2.67,2.67
2023-04-13,SU26242RMFS6,ОФЗ 26242,fixed,long,95.567,10.19,10.19,6.379192334017796,179121123.22,7.5,2.6899999999999995,2.6899999999999995
2023-04-14,SU26242RMFS6,ОФЗ 26242,fixed,long,95.578,10.19,10.19,6.376454483230664,116912056.38,7.5,2.6899999999999995,2.6899999999999995
2023-04-17,SU26242RMFS6,ОФЗ 26242,fixed,long,95.515,10.2,10.2,6.368240930869268,273174506.64,7.5,2.6999999999999993,2.6999999999999993
2023-04-18,SU26242RMFS6,ОФЗ 26242,fixed,long,95.51,10.21,10.21,6.365503080082136,232589459.43,7.5,2.710000000000001,2.710000000000001
2023-04-19,SU26242RMFS6,ОФЗ 26242,fixed,long,95.436,10.22,10.22,6.362765229295003,421396953.34,7.5,2.7200000000000006,2.7200000000000006
2023-04-20,SU26242RMFS6,ОФЗ 26242,fixed,long,95.526,10.2,10.2,6.360027378507871,63617517.7,7.5,2.6999999999999993,2.6999999999999993
2023-04-21,SU26242RMFS6,ОФЗ 26242,fixed,long,95.751,10.15,10.15,6.357289527720739,38677504.23,7.5,2.6500000000000004,2.6500000000000004
2023-04-24,SU26242RMFS6,ОФЗ 26242,fixed,long,95.849,10.13,10.13,6.349075975359343,1060088623.6,7.5,2.630000000000001,2.630000000000001
2023-04-25,SU26242RMFS6,ОФЗ 26242,fixed,long,95.855,10.13,10.13,6.346338124572211,24017515.08,7.5,2.630000000000001,2.630000000000001
2023-04-26,SU26242RMFS6,ОФЗ 26242,fixed,long,95.816,10.14,10.14,6.3436002737850785,841307523.69,7.5,2.6400000000000006,2.6400000000000006
2023-04-27,SU26242RMFS6,ОФЗ 26242,fixed,long,96.089,10.07,10.07,6.3408624229979464,230934855.38,7.5,2.5700000000000003,2.5700000000000003
2023-04-28,SU26242RMFS6,ОФЗ 26242,fixed,long,96.318,10.02,10.02,6.338124572210814,1276974075.84,7.5,2.5199999999999996,2.5199999999999996
2023-05-02,SU26242RMFS6,ОФЗ 26242,fixed,long,96.527,9.97,9.97,6.327173169062286,59244473.0,7.5,2.4700000000000006,2.4700000000000006
2023-05-03,SU26242RMFS6,ОФЗ 26242,fixed,long,96.557,9.97,9.97,6.324435318275154,48458849.26,7.5,2.4700000000000006,2.4700000000000006
2023-05-04,SU26242RMFS6,ОФЗ 26242,fixed,long,96.557,9.97,9.97,6.321697467488022,9500289.78,7.5,2.4700000000000006,2.4700000000000006
2023-05-05,SU26242RMFS6,ОФЗ 26242,fixed,long,96.598,9.96,9.96,6.31895961670089,40640538.99,7.5,2.460000000000001,2.460000000000001
2023-05-08,SU26242RMFS6,ОФЗ 26242,fixed,long,96.997,9.87,9.87,6.310746064339494,197264328.7,7.5,2.369999999999999,2.369999999999999
2023-05-10,SU26242RMFS6,ОФЗ 26242,fixed,long,96.8,9.91,9.91,6.30527036276523,22018093.35,7.5,2.41,2.41
2023-05-11,SU26242RMFS6,ОФЗ 26242,fixed,long,96.685,9.94,9.94,6.3025325119780975,214876693.11,7.5,2.4399999999999995,2.4399999999999995
2023-05-12,SU26242RMFS6,ОФЗ 26242,fixed,long,96.624,9.95,9.95,6.299794661190965,509316226.92,7.5,2.4499999999999993,2.4499999999999993
2023-05-15,SU26242RMFS6,ОФЗ 26242,fixed,long,96.437,10.0,10.0,6.291581108829569,297787368.16,7.5,2.5,2.5
2023-05-16,SU26242RMFS6,ОФЗ 26242,fixed,long,96.421,10.0,10.0,6.288843258042436,956820353.98,7.5,2.5,2.5
2023-05-17,SU26242RMFS6,ОФЗ 26242,fixed,long,96.492,9.99,9.99,6.286105407255304,100017839.34,7.5,2.49,2.49
2023-05-18,SU26242RMFS6,ОФЗ 26242,fixed,long,96.551,9.97,9.97,6.283367556468172,118409069.92,7.5,2.4700000000000006,2.4700000000000006
2023-05-19,SU26242RMFS6,ОФЗ 26242,fixed,long,96.628,9.96,9.96,6.28062970568104,837083721.44,7.5,2.460000000000001,2.460000000000001
2023-05-22,SU26242RMFS6,ОФЗ 26242,fixed,long,96.467,9.99,9.99,6.272416153319644,543550553.22,7.5,2.49,2.49
2023-05-23,SU26242RMFS6,ОФЗ 26242,fixed,long,96.301,10.03,10.03,6.269678302532512,775334249.01,7.5,2.5299999999999994,2.5299999999999994
2023-05-24,SU26242RMFS6,ОФЗ 26242,fixed,long,96.302,10.03,10.03,6.26694045174538,1612557050.15,7.5,2.5299999999999994,2.5299999999999994
2023-05-25,SU26242RMFS6,ОФЗ 26242,fixed,long,96.368,10.02,10.02,6.264202600958248,918555448.66,7.5,2.5199999999999996,2.5199999999999996
2023-05-26,SU26242RMFS6,ОФЗ 26242,fixed,long,96.406,10.01,10.01,6.261464750171116,1695084642.07,7.5,2.51,2.51
2023-05-29,SU26242RMFS6,ОФЗ 26242,fixed,long,96.411,10.01,10.01,6.253251197809719,556603987.8,7.5,2.51,2.51
2023-05-30,SU26242RMFS6,ОФЗ 26242,fixed,long,96.423,10.01,10.01,6.250513347022587,942232873.98,7.5,2.51,2.51
2023-05-31,SU26242RMFS6,ОФЗ 26242,fixed,long,96.399,10.01,10.01,6.247775496235455,1366402376.12,7.5,2.51,2.51
2023-06-01,SU26242RMFS6,ОФЗ 26242,fixed,long,96.445,10.0,10.0,6.245037645448323,1104718330.75,7.5,2.5,2.5
2023-06-02,SU26242RMFS6,ОФЗ 26242,fixed,long,96.426,10.01,10.01,6.242299794661191,1578704384.92,7.5,2.51,2.51
2023-06-05,SU26242RMFS6,ОФЗ 26242,fixed,long,96.375,10.02,10.02,6.234086242299795,838410935.43,7.5,2.5199999999999996,2.5199999999999996
2023-06-06,SU26242RMFS6,ОФЗ 26242,fixed,long,96.209,10.06,10.06,6.231348391512663,310506887.45,7.5,2.5600000000000005,2.5600000000000005
2023-06-07,SU26242RMFS6,ОФЗ 26242,fixed,long,96.106,10.08,10.08,6.228610540725531,1177872549.46,7.5,2.58,2.58
2023-06-08,SU26242RMFS6,ОФЗ 26242,fixed,long,96.054,10.1,10.1,6.225872689938399,1622113838.27,7.5,2.5999999999999996,2.5999999999999996
2023-06-09,SU26242RMFS6,ОФЗ 26242,fixed,long,95.984,10.11,10.11,6.223134839151267,334995803.26,7.5,2.6099999999999994,2.6099999999999994
2023-06-13,SU26242RMFS6,ОФЗ 26242,fixed,long,96.026,10.1,10.1,6.2121834360027375,65379596.49,7.5,2.5999999999999996,2.5999999999999996
2023-06-14,SU26242RMFS6,ОФЗ 26242,fixed,long,96.017,10.11,10.11,6.209445585215605,1258776817.12,7.5,2.6099999999999994,2.6099999999999994
2023-06-15,SU26242RMFS6,ОФЗ 26242,fixed,long,95.948,10.12,10.12,6.206707734428473,111176509.84,7.5,2.619999999999999,2.619999999999999
2023-06-16,SU26242RMFS6,ОФЗ 26242,fixed,long,96.036,10.1,10.1,6.203969883641341,204645213.3,7.5,2.5999999999999996,2.5999999999999996
2023-06-19,SU26242RMFS6,ОФЗ 26242,fixed,long,95.91,10.13,10.13,6.195756331279945,166954735.17,7.5,2.630000000000001,2.630000000000001
2023-06-20,SU26242RMFS6,ОФЗ 26242,fixed,long,95.787,10.16,10.16,6.193018480492813,240420305.35,7.5,2.66,2.66
2023-06-21,SU26242RMFS6,ОФЗ 26242,fixed,long,95.719,10.18,10.18,6.190280629705681,346837644.59,7.5,2.6799999999999997,2.6799999999999997
