TRADEDATE,SECID,SHORTNAME,COUPON_TYPE,PLOT_GROUP,PRICE_FOR_ANALYSIS,YIELD_FOR_ANALYSIS,RATE_FOR_ANALYSIS,YEARS_TO_MATURITY,VALUE,key_rate,YIELD_KEY_RATE_SPREAD,RATE_KEY_RATE_SPREAD
2019-12-11,SU26232RMFS7,ОФЗ 26232,fixed,long,98.45,6.35,6.35,7.819301848049282,2147930.99,6.5,-0.15000000000000036,-0.15000000000000036
2019-12-12,SU26232RMFS7,ОФЗ 26232,fixed,long,98.577,6.33,6.33,7.816563997262149,1631206521.96,6.5,-0.16999999999999993,-0.16999999999999993
2019-12-13,SU26232RMFS7,ОФЗ 26232,fixed,long,98.817,6.29,6.29,7.813826146475017,562649146.12,6.5,-0.20999999999999996,-0.20999999999999996
2019-12-16,SU26232RMFS7,ОФЗ 26232,fixed,long,98.779,6.3,6.3,7.8056125941136205,107608348.54,6.25,0.04999999999999982,0.04999999999999982
2019-12-17,SU26232RMFS7,ОФЗ 26232,fixed,long,98.959,6.27,6.27,7.802874743326488,4999391.98,6.25,0.019999999999999574,0.019999999999999574
2019-12-18,SU26232RMFS7,ОФЗ 26232,fixed,long,98.965,6.27,6.27,7.800136892539356,5388644.75,6.25,0.019999999999999574,0.019999999999999574
2019-12-19,SU26232RMFS7,ОФЗ 26232,fixed,long,98.894,6.28,6.28,7.797399041752224,8858913.81,6.25,0.03000000000000025,0.03000000000000025
2019-12-20,SU26232RMFS7,ОФЗ 26232,fixed,long,98.861,6.28,6.28,7.794661190965092,5293037.3,6.25,0.03000000000000025,0.03000000000000025
2019-12-23,SU26232RMFS7,ОФЗ 26232,fixed,long,98.86,6.28,6.28,7.786447638603696,10137055.65,6.25,0.03000000000000025,0.03000000000000025
2019-12-24,SU26232RMFS7,ОФЗ 26232,fixed,long,99.131,6.24,6.24,7.783709787816564,10725983.93,6.25,-0.009999999999999787,-0.009999999999999787
2019-12-25,SU26232RMFS7,ОФЗ 26232,fixed,long,98.863,6.28,6.28,7.780971937029432,19771043.59,6.25,0.03000000000000025,0.03000000000000025
2019-12-26,SU26232RMFS7,ОФЗ 26232,fixed,long,98.912,6.27,6.27,7.7782340862423,12799060.82,6.25,0.019999999999999574,0.019999999999999574
2019-12-27,SU26232RMFS7,ОФЗ 26232,fixed,long,99.025,6.26,6.26,7.775496235455168,41283306.15,6.25,0.009999999999999787,0.009999999999999787
2019-12-30,SU26232RMFS7,ОФЗ 26232,fixed,long,99.021,6.26,6.26,7.767282683093772,42360064.47,6.25,0.009999999999999787,0.009999999999999787
2020-01-03,SU26232RMFS7,ОФЗ 26232,fixed,long,99.395,6.19,6.19,7.756331279945243,8709985.16,6.25,-0.05999999999999961,-0.05999999999999961
