TRADEDATE,SECID,SHORTNAME,COUPON_TYPE,PLOT_GROUP,PRICE_FOR_ANALYSIS,YIELD_FOR_ANALYSIS,RATE_FOR_ANALYSIS,YEARS_TO_MATURITY,VALUE,key_rate,YIELD_KEY_RATE_SPREAD,RATE_KEY_RATE_SPREAD
2021-06-23,SU26238RMFS4,ОФЗ 26238,fixed,long,99.6,7.27,7.27,19.89322381930185,79654104.0,5.5,1.7699999999999996,1.7699999999999996
2021-06-24,SU26238RMFS4,ОФЗ 26238,fixed,long,99.578,7.27,7.27,19.890485968514717,381638911.85,5.5,1.7699999999999996,1.7699999999999996
2021-06-25,SU26238RMFS4,ОФЗ 26238,fixed,long,99.501,7.27,7.27,19.887748117727583,352822111.07,5.5,1.7699999999999996,1.7699999999999996
2021-06-28,SU26238RMFS4,ОФЗ 26238,fixed,long,99.495,7.28,7.28,19.87953456536619,18788565.13,5.5,1.7800000000000002,1.7800000000000002
2021-06-29,SU26238RMFS4,ОФЗ 26238,fixed,long,99.422,7.28,7.28,19.876796714579054,328091.7,5.5,1.7800000000000002,1.7800000000000002
2021-06-30,SU26238RMFS4,ОФЗ 26238,fixed,long,99.391,7.29,7.29,19.874058863791923,2683556.64,5.5,1.79,1.79
2021-07-01,SU26238RMFS4,ОФЗ 26238,fixed,long,99.259,7.3,7.3,19.871321013004792,11391950.29,5.5,1.7999999999999998,1.7999999999999998
2021-07-02,SU26238RMFS4,ОФЗ 26238,fixed,long,99.237,7.3,7.3,19.86858316221766,2742922.31,5.5,1.7999999999999998,1.7999999999999998
2021-07-05,SU26238RMFS4,ОФЗ 26238,fixed,long,99.252,7.3,7.3,19.860369609856264,1262479.62,5.5,1.7999999999999998,1.7999999999999998
2021-07-06,SU26238RMFS4,ОФЗ 26238,fixed,long,99.087,7.32,7.32,19.857631759069132,3855459.73,5.5,1.8200000000000003,1.8200000000000003
2021-07-07,SU26238RMFS4,ОФЗ 26238,fixed,long,98.212,7.4,7.4,19.854893908282,101522448.03,5.5,1.9000000000000004,1.9000000000000004
2021-07-08,SU26238RMFS4,ОФЗ 26238,fixed,long,98.152,7.41,7.41,19.852156057494867,631524959.7,5.5,1.9100000000000001,1.9100000000000001
2021-07-09,SU26238RMFS4,ОФЗ 26238,fixed,long,98.533,7.37,7.37,19.849418206707735,5569100.54,5.5,1.87,1.87
2021-07-12,SU26238RMFS4,ОФЗ 26238,fixed,long,98.217,7.4,7.4,19.84120465434634,11411841.73,5.5,1.9000000000000004,1.9000000000000004
2021-07-13,SU26238RMFS4,ОФЗ 26238,fixed,long,98.161,7.41,7.41,19.838466803559207,2005436.29,5.5,1.9100000000000001,1.9100000000000001
2021-07-14,SU26238RMFS4,ОФЗ 26238,fixed,long,98.028,7.42,7.42,19.835728952772072,2809493.06,5.5,1.92,1.92
2021-07-15,SU26238RMFS4,ОФЗ 26238,fixed,long,98.289,7.4,7.4,19.83299110198494,2354013.01,5.5,1.9000000000000004,1.9000000000000004
2021-07-16,SU26238RMFS4,ОФЗ 26238,fixed,long,98.375,7.39,7.39,19.83025325119781,3454935.39,5.5,1.8899999999999997,1.8899999999999997
2021-07-19,SU26238RMFS4,ОФЗ 26238,fixed,long,97.926,7.43,7.43,19.822039698836413,47853935.6,5.5,1.9299999999999997,1.9299999999999997
2021-07-20,SU26238RMFS4,ОФЗ 26238,fixed,long,98.354,7.39,7.39,19.81930184804928,290730.05,5.5,1.8899999999999997,1.8899999999999997
2021-07-21,SU26238RMFS4,ОФЗ 26238,fixed,long,98.887,7.34,7.34,19.81656399726215,2988365.26,5.5,1.8399999999999999,1.8399999999999999
2021-07-22,SU26238RMFS4,ОФЗ 26238,fixed,long,100.0,7.23,7.23,19.813826146475016,163796251.46,5.5,1.7300000000000004,1.7300000000000004
2021-07-23,SU26238RMFS4,ОФЗ 26238,fixed,long,100.032,7.22,7.22,19.811088295687885,142045.85,5.5,1.7199999999999998,1.7199999999999998
2021-07-26,SU26238RMFS4,ОФЗ 26238,fixed,long,100.0,7.22,7.22,19.802874743326488,31692955.1,6.5,0.7199999999999998,0.7199999999999998
2021-07-27,SU26238RMFS4,ОФЗ 26238,fixed,long,100.26,7.2,7.2,19.800136892539356,666728.73,6.5,0.7000000000000002,0.7000000000000002
2021-07-28,SU26238RMFS4,ОФЗ 26238,fixed,long,99.613,7.26,7.26,19.797399041752225,712234.47,6.5,0.7599999999999998,0.7599999999999998
2021-07-29,SU26238RMFS4,ОФЗ 26238,fixed,long,100.225,7.2,7.2,19.794661190965098,3808531.52,6.5,0.7000000000000002,0.7000000000000002
2021-07-30,SU26238RMFS4,ОФЗ 26238,fixed,long,100.405,7.19,7.19,19.79192334017796,2634835.93,6.5,0.6900000000000004,0.6900000000000004
2021-08-02,SU26238RMFS4,ОФЗ 26238,fixed,long,99.976,7.23,7.23,19.78370978781657,14412518.94,6.5,0.7300000000000004,0.7300000000000004
2021-08-03,SU26238RMFS4,ОФЗ 26238,fixed,long,99.658,7.26,7.26,19.78097193702943,10947420.57,6.5,0.7599999999999998,0.7599999999999998
2021-08-04,SU26238RMFS4,ОФЗ 26238,fixed,long,99.373,7.29,7.29,19.7782340862423,900592508.04,6.5,0.79,0.79
2021-08-05,SU26238RMFS4,ОФЗ 26238,fixed,long,99.521,7.27,7.27,19.77549623545517,529904548.39,6.5,0.7699999999999996,0.7699999999999996
2021-08-06,SU26238RMFS4,ОФЗ 26238,fixed,long,99.615,7.26,7.26,19.77275838466803,20615337.42,6.5,0.7599999999999998,0.7599999999999998
2021-08-09,SU26238RMFS4,ОФЗ 26238,fixed,long,99.345,7.29,7.29,19.76454483230664,24425938.69,6.5,0.79,0.79
2021-08-10,SU26238RMFS4,ОФЗ 26238,fixed,long,99.102,7.31,7.31,19.761806981519506,309543948.11,6.5,0.8099999999999996,0.8099999999999996
2021-08-11,SU26238RMFS4,ОФЗ 26238,fixed,long,98.817,7.34,7.34,19.759069130732374,67536598.31,6.5,0.8399999999999999,0.8399999999999999
2021-08-12,SU26238RMFS4,ОФЗ 26238,fixed,long,99.134,7.31,7.31,19.756331279945243,25522147.73,6.5,0.8099999999999996,0.8099999999999996
2021-08-13,SU26238RMFS4,ОФЗ 26238,fixed,long,99.069,7.32,7.32,19.753593429158112,3866667.96,6.5,0.8200000000000003,0.8200000000000003
2021-08-16,SU26238RMFS4,ОФЗ 26238,fixed,long,99.084,7.32,7.32,19.745379876796715,46644950.19,6.5,0.8200000000000003,0.8200000000000003
2021-08-17,SU26238RMFS4,ОФЗ 26238,fixed,long,99.013,7.32,7.32,19.742642026009584,24372058.85,6.5,0.8200000000000003,0.8200000000000003
2021-08-18,SU26238RMFS4,ОФЗ 26238,fixed,long,98.949,7.33,7.33,19.73990417522245,1082679959.79,6.5,0.8300000000000001,0.8300000000000001
2021-08-19,SU26238RMFS4,ОФЗ 26238,fixed,long,98.707,7.35,7.35,19.73716632443532,337537184.49,6.5,0.8499999999999996,0.8499999999999996
2021-08-20,SU26238RMFS4,ОФЗ 26238,fixed,long,98.676,7.36,7.36,19.734428473648187,27716208.72,6.5,0.8600000000000003,0.8600000000000003
2021-08-23,SU26238RMFS4,ОФЗ 26238,fixed,long,98.584,7.37,7.37,19.72621492128679,410656207.63,6.5,0.8700000000000001,0.8700000000000001
2021-08-24,SU26238RMFS4,ОФЗ 26238,fixed,long,98.46,7.38,7.38,19.72347707049966,256421456.67,6.5,0.8799999999999999,0.8799999999999999
2021-08-25,SU26238RMFS4,ОФЗ 26238,fixed,long,98.515,7.37,7.37,19.720739219712527,9319529.51,6.5,0.8700000000000001,0.8700000000000001
2021-08-26,SU26238RMFS4,ОФЗ 26238,fixed,long,98.3,7.39,7.39,19.718001368925393,5740744.6,6.5,0.8899999999999997,0.8899999999999997
2021-08-27,SU26238RMFS4,ОФЗ 26238,fixed,long,98.439,7.38,7.38,19.71526351813826,5304883.84,6.5,0.8799999999999999,0.8799999999999999
2021-08-30,SU26238RMFS4,ОФЗ 26238,fixed,long,98.618,7.36,7.36,19.707049965776864,9592618.43,6.5,0.8600000000000003,0.8600000000000003
2021-08-31,SU26238RMFS4,ОФЗ 26238,fixed,long,98.451,7.38,7.38,19.704312114989733,212300798.7,6.5,0.8799999999999999,0.8799999999999999
2021-09-01,SU26238RMFS4,ОФЗ 26238,fixed,long,98.231,7.4,7.4,19.7015742642026,4451334983.15,6.5,0.9000000000000004,0.9000000000000004
2021-09-02,SU26238RMFS4,ОФЗ 26238,fixed,long,98.03,7.42,7.42,19.698836413415467,1528876032.06,6.5,0.9199999999999999,0.9199999999999999
2021-09-03,SU26238RMFS4,ОФЗ 26238,fixed,long,98.07,7.42,7.42,19.696098562628336,1091544228.12,6.5,0.9199999999999999,0.9199999999999999
2021-09-06,SU26238RMFS4,ОФЗ 26238,fixed,long,97.972,7.43,7.43,19.68788501026694,8257069.99,6.5,0.9299999999999997,0.9299999999999997
2021-09-07,SU26238RMFS4,ОФЗ 26238,fixed,long,97.724,7.45,7.45,19.685147159479808,23074494.97,6.5,0.9500000000000002,0.9500000000000002
2021-09-08,SU26238RMFS4,ОФЗ 26238,fixed,long,98.014,7.42,7.42,19.682409308692677,260138754.45,6.5,0.9199999999999999,0.9199999999999999
2021-09-09,SU26238RMFS4,ОФЗ 26238,fixed,long,97.899,7.43,7.43,19.679671457905545,322499260.29,6.5,0.9299999999999997,0.9299999999999997
2021-09-10,SU26238RMFS4,ОФЗ 26238,fixed,long,98.243,7.4,7.4,19.67693360711841,357529068.6,6.5,0.9000000000000004,0.9000000000000004
