TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,PLOT_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,PRICE_FOR_ANALYSIS,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD_FOR_ANALYSIS,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,CLOSE_IQR_OUTLIER,PRICE_RETURN_IQR_OUTLIER,YIELD_IQR_OUTLIER,YIELD_EXTREME_LEVEL_FLAG,HARD_DATA_ERROR,ANY_OUTLIER_FLAG,OUTLIER_REPLACED_WITH_DAILY_MEDIAN,CLOSE_RAW,WAPRICE_RAW,PRICE_FOR_ANALYSIS_RAW,YIELDATWAP_RAW,YIELDCLOSE_RAW,YIELD_FOR_ANALYSIS_RAW
2019-02-06,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,100.102,100.102,99.92,100.0,100.12,100.12,1000.0,1010.67,0.0,,8.09,8.11,8.09,794419,794365089.39,29,10.67,1000,7.95,25.92,2026-10-07,7.665982203969883,2126.0,False,False,False,False,False,False,False,100.0,100.12,100.12,8.09,8.11,8.09
2019-02-07,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,100.1,100.1,99.7,99.7,99.795,99.795,997.0,1007.89,-0.29999999999999716,-0.0030000000000000027,8.15,8.16,8.15,1002105,1000028924.73,50,10.89,1000,7.95,25.92,2026-10-07,7.663244353182751,2124.0,False,False,False,False,False,False,False,99.7,99.795,99.795,8.15,8.16,8.15
2019-02-08,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.85,99.85,99.798,99.8,99.954,99.954,998.0,1009.11,-0.20000000000000284,0.0010030090270811698,8.12,8.15,8.12,125748,125496841.77,21,11.11,1000,7.95,25.92,2026-10-07,7.660506502395619,2124.0,False,False,False,False,False,False,False,99.8,99.954,99.954,8.12,8.15,8.12
2019-02-11,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.998,99.998,99.7,99.75,99.791,99.791,997.5,1009.26,-0.25,-0.0005010020040079333,8.15,8.15,8.15,13630,13601469.09,33,11.76,1000,7.95,25.92,2026-10-07,7.652292950034223,2120.0,False,False,False,False,False,False,False,99.75,99.791,99.791,8.15,8.15,8.15
2019-02-12,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.7,99.82,99.65,99.7,99.725,99.725,997.0,1008.98,-0.29999999999999716,-0.0005012531328320025,8.16,8.16,8.16,1091,1088001.68,15,11.98,1000,7.95,25.92,2026-10-07,7.649555099247091,2119.0,False,False,False,False,False,False,False,99.7,99.725,99.725,8.16,8.16,8.16
2019-02-13,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.798,99.798,99.3,99.3,98.39,98.39,993.0,1005.2,-0.7000000000000028,-0.004012036108325012,8.41,8.24,8.41,408109,405661472.35,30,12.2,1000,7.95,25.92,2026-10-07,7.646817248459959,2112.0,False,False,False,False,False,False,False,99.3,98.39,98.39,8.41,8.24,8.41
2019-02-14,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.01,99.5,98.167,98.698,98.373,98.373,986.98,999.4,-1.3020000000000067,-0.006062437059416004,8.41,8.35,8.41,676682,665583180.55,41,12.42,1000,7.95,25.92,2026-10-07,7.644079397672827,2111.0,False,False,False,False,False,False,False,98.698,98.373,98.373,8.41,8.35,8.41
2019-02-15,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,98.888,99.4,98.75,99.199,99.224,99.224,991.9899999999999,1004.6199999999999,-0.8010000000000019,0.0050760907009261835,8.25,8.26,8.25,7502818,7447608358.16,74,12.63,1000,7.95,25.92,2026-10-07,7.641341546885695,2114.0,False,False,False,False,False,False,False,99.199,99.224,99.224,8.25,8.26,8.25
2019-02-18,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.24,99.298,99.0,99.1,99.254,99.254,991.0,1004.29,-0.9000000000000057,-0.0009979939313904396,8.25,8.28,8.25,576,571703.71,16,13.29,1000,7.95,25.92,2026-10-07,7.6331279945242985,2111.0,False,False,False,False,False,False,False,99.1,99.254,99.254,8.25,8.28,8.25
2019-02-19,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.0,99.0,98.58,98.7,98.786,98.786,987.0,1000.5,-1.2999999999999972,-0.004036326942482238,8.33,8.35,8.33,440883,435529799.48,47,13.5,1000,7.95,25.92,2026-10-07,7.630390143737166,2108.0,False,False,False,False,False,False,False,98.7,98.786,98.786,8.33,8.35,8.33
2019-02-20,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,98.964,98.964,98.5,98.55,98.521,98.521,985.4999999999999,999.2199999999999,-1.4500000000000028,-0.001519756838905817,8.38,8.38,8.38,191658,188823928.65,63,13.72,1000,7.95,25.92,2026-10-07,7.627652292950034,2106.0,False,False,False,False,False,False,False,98.55,98.521,98.521,8.38,8.38,8.38
2019-02-21,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,98.99,98.999,98.61,98.749,98.78,98.78,987.49,1001.4300000000001,-1.2510000000000048,0.0020192795535260988,8.33,8.34,8.33,8064,7965632.87,28,13.94,1000,7.95,25.92,2026-10-07,7.624914442162902,2106.0,False,False,False,False,False,False,False,98.749,98.78,98.78,8.33,8.34,8.33
2019-02-22,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,98.584,98.998,98.584,98.799,98.765,98.765,987.99,1002.15,-1.2009999999999934,0.0005063342413595961,8.34,8.33,8.34,11424,11282889.16,26,14.16,1000,7.95,25.92,2026-10-07,7.62217659137577,2105.0,False,False,False,False,False,False,False,98.799,98.765,98.765,8.34,8.33,8.34
2019-02-25,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,98.998,99.25,98.95,99.099,98.988,98.988,990.99,1005.8,-0.9009999999999962,0.003036467980445101,8.3,8.28,8.3,101168,100133064.98,28,14.81,1000,7.95,25.92,2026-10-07,7.613963039014374,2103.0,False,False,False,False,False,False,False,99.099,98.988,98.988,8.3,8.28,8.3
2019-02-26,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.201,99.28,98.501,99.25,99.074,99.074,992.5,1007.53,-0.75,0.0015237287964560142,8.28,8.25,8.28,1488689,1475833875.55,44,15.03,1000,7.95,25.92,2026-10-07,7.611225188227242,2102.0,False,False,False,False,False,False,False,99.25,99.074,99.074,8.28,8.25,8.28
2019-02-27,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.199,99.199,98.7,98.799,99.037,99.037,987.99,1003.24,-1.2009999999999934,-0.004544080604533929,8.29,8.33,8.29,1651704,1635992125.18,66,15.25,1000,7.95,25.92,2026-10-07,7.60848733744011,2101.0,False,False,False,False,False,False,False,98.799,99.037,99.037,8.29,8.33,8.29
2019-02-28,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,98.96,99.089,98.75,98.999,98.85,98.85,989.9899999999999,1005.4499999999999,-1.0010000000000048,0.0020243119869634008,8.32,8.29,8.32,1073424,1061630938.54,44,15.46,1000,7.95,25.92,2026-10-07,7.605749486652978,2099.0,False,False,False,False,False,False,False,98.999,98.85,98.85,8.32,8.29,8.32
2019-03-01,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.099,99.148,98.95,99.148,99.018,99.018,991.4799999999999,1007.1599999999999,-0.8520000000000039,0.0015050657077344543,8.29,8.27,8.29,1312488,1299320141.51,59,15.68,1000,7.95,25.92,2026-10-07,7.603011635865846,2099.0,False,False,False,False,False,False,False,99.148,99.018,99.018,8.29,8.27,8.29
2019-03-04,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.15,99.15,98.831,98.84,98.901,98.901,988.4000000000001,1004.7400000000001,-1.1599999999999966,-0.003106467099689314,8.31,8.32,8.31,70878,70099146.08,64,16.34,1000,7.95,25.92,2026-10-07,7.594798083504449,2095.0,False,False,False,False,False,False,False,98.84,98.901,98.901,8.31,8.32,8.31
2019-03-05,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.042,99.042,98.6,98.6,98.828,98.828,986.0,1002.55,-1.4000000000000057,-0.002428166734115833,8.33,8.37,8.33,42034,41541293.3,71,16.55,1000,7.95,25.92,2026-10-07,7.592060232717317,2094.0,False,False,False,False,False,False,False,98.6,98.828,98.828,8.33,8.37,8.33
2019-03-06,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,98.7,98.738,98.5,98.5,98.559,98.559,985.0,1001.77,-1.5,-0.001014198782961384,8.38,8.39,8.38,1042023,1026853154.04,101,16.77,1000,7.95,25.92,2026-10-07,7.5893223819301845,2092.0,False,False,False,False,False,False,False,98.5,98.559,98.559,8.38,8.39,8.38
2019-03-07,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,99.606,99.606,98.55,98.65,98.72,98.72,986.5,1003.49,-1.3499999999999943,0.001522842639593902,8.35,8.36,8.35,364878,359630316.04,57,16.99,1000,7.95,25.92,2026-10-07,7.586584531143052,2092.0,False,False,False,False,False,False,False,98.65,98.72,98.72,8.35,8.36,8.35
2019-03-11,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,98.9,98.9,98.6,98.65,98.651,98.651,986.5,1004.36,-1.3499999999999943,0.0,8.36,8.36,8.36,273323,269635757.54,51,17.86,1000,7.95,25.92,2026-10-07,7.575633127994524,2087.0,False,False,False,False,False,False,False,98.65,98.651,98.651,8.36,8.36,8.36
2019-03-12,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,98.7,98.81,98.651,98.75,98.738,98.738,987.5,1005.58,-1.25,0.0010136847440445074,8.34,8.34,8.34,1387521,1369783414.8,53,18.08,1000,7.95,25.92,2026-10-07,7.572895277207392,2087.0,False,False,False,False,False,False,False,98.75,98.738,98.738,8.34,8.34,8.34
2019-03-13,SU26226RMFS9,ОФЗ-ПД 26226,ОФЗ 26226,TQOB,fixed,short_fixed_selected,long,long,98.845,98.899,98.75,98.849,98.796,98.796,988.4900000000001,1006.7900000000001,-1.1509999999999962,0.0010025316455697375,8.33,8.32,8.33,360375,356035087.2,43,18.3,1000,7.95,25.92,2026-10-07,7.57015742642026,2086.0,False,False,False,False,False,False,False,98.849,98.796,98.796,8.33,8.32,8.33
