TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,PLOT_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,PRICE_FOR_ANALYSIS,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD_FOR_ANALYSIS,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,CLOSE_IQR_OUTLIER,PRICE_RETURN_IQR_OUTLIER,YIELD_IQR_OUTLIER,YIELD_EXTREME_LEVEL_FLAG,HARD_DATA_ERROR,ANY_OUTLIER_FLAG,OUTLIER_REPLACED_WITH_DAILY_MEDIAN,CLOSE_RAW,WAPRICE_RAW,PRICE_FOR_ANALYSIS_RAW,YIELDATWAP_RAW,YIELDCLOSE_RAW,YIELD_FOR_ANALYSIS_RAW
2020-11-25,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.64,100.65,100.59,100.59,100.631,100.631,1005.9,1008.09,0.5900000000000034,,5.67,5.68,5.67,2005020,2017607920.61,30,2.19,1000,5.7,30.61,2028-05-17,7.474332648870637,2258.0,False,False,False,False,False,False,False,100.59,100.631,100.631,5.67,5.68,5.67
2020-11-26,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.96,100.96,100.553,100.589,100.683,100.683,1005.89,1008.23,0.5889999999999986,-9.941346058250922e-06,5.66,5.68,5.66,703225,707764246.01,44,2.34,1000,5.7,30.61,2028-05-17,7.471594798083505,2257.0,False,False,False,False,False,False,False,100.589,100.683,100.683,5.66,5.68,5.66
2020-11-27,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.6,100.6,100.59,100.598,100.599,100.599,1005.9800000000001,1008.4800000000001,0.597999999999999,8.947300400641289e-05,5.68,5.68,5.68,12543,12618154.72,34,2.5,1000,5.7,30.61,2028-05-17,7.468856947296373,2255.0,False,False,False,False,False,False,False,100.598,100.599,100.599,5.68,5.68,5.68
2020-11-30,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.6,100.6,100.305,100.589,100.581,100.581,1005.89,1008.86,0.5889999999999986,-8.94649993041785e-05,5.68,5.68,5.68,707,711107.07,18,2.97,1000,5.7,30.61,2028-05-17,7.460643394934976,2252.0,False,False,False,False,False,False,False,100.589,100.581,100.581,5.68,5.68,5.68
2020-12-01,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.599,100.599,100.595,100.595,100.598,100.598,1005.9499999999999,1009.0699999999999,0.5949999999999989,5.9648669337608595e-05,5.68,5.68,5.68,2955,2972669.89,17,3.12,1000,5.7,30.61,2028-05-17,7.457905544147844,2251.0,False,False,False,False,False,False,False,100.595,100.598,100.598,5.68,5.68,5.68
2020-12-02,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.598,100.598,100.501,100.549,100.592,100.592,1005.49,1008.77,0.5490000000000066,-0.0004572791888264316,5.68,5.69,5.68,1318,1325803.28,13,3.28,1000,5.7,30.61,2028-05-17,7.455167693360712,2250.0,False,False,False,False,False,False,False,100.549,100.592,100.592,5.68,5.69,5.68
2020-12-03,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.599,100.599,100.549,100.599,100.576,100.576,1005.9899999999999,1009.43,0.5990000000000038,0.0004972699877672238,5.68,5.68,5.68,109888,110521489.5,17,3.44,1000,5.7,30.61,2028-05-17,7.452429842573579,2249.0,False,False,False,False,False,False,False,100.599,100.576,100.576,5.68,5.68,5.68
2020-12-04,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.618,100.618,100.59,100.59,100.596,100.596,1005.9,1009.49,0.5900000000000034,-8.946410998122989e-05,5.68,5.68,5.68,1482,1490835.31,17,3.59,1000,5.7,30.61,2028-05-17,7.449691991786447,2248.0,False,False,False,False,False,False,False,100.59,100.596,100.596,5.68,5.68,5.68
2020-12-07,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.67,100.67,100.11,100.625,100.578,100.578,1006.2500000000001,1010.3100000000001,0.625,0.0003479471120388933,5.68,5.67,5.68,68019,68412204.64,22,4.06,1000,5.7,30.61,2028-05-17,7.441478439425051,2245.0,False,False,False,False,False,False,False,100.625,100.578,100.578,5.68,5.67,5.68
2020-12-08,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.7,100.7,100.599,100.599,100.6,100.6,1005.9899999999999,1010.2099999999999,0.5990000000000038,-0.0002583850931676679,5.68,5.68,5.68,3712,3734266.2,22,4.22,1000,5.7,30.61,2028-05-17,7.438740588637919,2244.0,False,False,False,False,False,False,False,100.599,100.6,100.6,5.68,5.68,5.68
2020-12-09,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.67,100.67,100.55,100.55,100.59,100.59,1005.5000000000001,1009.8700000000001,0.5499999999999972,-0.00048708237656447384,5.68,5.69,5.68,363,365140.94,16,4.37,1000,5.7,30.61,2028-05-17,7.436002737850787,2243.0,False,False,False,False,False,False,False,100.55,100.59,100.59,5.68,5.69,5.68
2020-12-10,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.56,100.56,100.49,100.49,100.535,100.535,1004.8999999999999,1009.4299999999998,0.4899999999999949,-0.0005967180507210346,5.69,5.7,5.69,2270,2282143.83,17,4.53,1000,5.7,30.61,2028-05-17,7.433264887063655,2242.0,False,False,False,False,False,False,False,100.49,100.535,100.535,5.69,5.7,5.69
2020-12-11,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.55,100.55,100.48,100.48,100.507,100.507,1004.8000000000002,1009.4900000000002,0.480000000000004,-9.951238929239992e-05,5.69,5.7,5.69,1000,1005068.2,32,4.69,1000,5.7,30.61,2028-05-17,7.430527036276523,2241.0,False,False,False,False,False,False,False,100.48,100.507,100.507,5.69,5.7,5.69
2020-12-14,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.559,100.559,100.489,100.49,100.49,100.49,1004.8999999999999,1010.0499999999998,0.4899999999999949,9.952229299359239e-05,5.7,5.7,5.7,728,731654.91,23,5.15,1000,5.7,30.61,2028-05-17,7.422313483915127,2238.0,False,False,False,False,False,False,False,100.49,100.49,100.49,5.7,5.7,5.7
2020-12-15,SU26236RMFS8,ОФЗ-ПД 26236,ОФЗ 26236,TQOB,fixed,medium_fixed_selected,long,long,100.449,100.449,100.35,100.38,100.35,100.35,1003.8000000000001,1009.11,0.37999999999999545,-0.0010946362822171762,5.72,5.71,5.72,60430,60641674.96,24,5.31,1000,5.7,30.61,2028-05-17,7.4195756331279945,2237.0,False,False,False,False,False,False,False,100.38,100.35,100.35,5.72,5.71,5.72
