TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,PLOT_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,PRICE_FOR_ANALYSIS,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD_FOR_ANALYSIS,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,CLOSE_IQR_OUTLIER,PRICE_RETURN_IQR_OUTLIER,YIELD_IQR_OUTLIER,YIELD_EXTREME_LEVEL_FLAG,HARD_DATA_ERROR,ANY_OUTLIER_FLAG,OUTLIER_REPLACED_WITH_DAILY_MEDIAN,CLOSE_RAW,WAPRICE_RAW,PRICE_FOR_ANALYSIS_RAW,YIELDATWAP_RAW,YIELDCLOSE_RAW,YIELD_FOR_ANALYSIS_RAW
2019-12-11,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,98.5,98.5,98.438,98.438,98.45,98.45,984.38,985.53,-1.5619999999999976,,6.35,6.36,6.35,2182,2147930.99,53,1.15,1000,6.0,21.86,2027-10-06,7.819301848049282,2312.0,False,False,False,False,False,False,False,98.438,98.45,98.45,6.35,6.36,6.35
2019-12-12,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.0,99.0,98.549,98.748,98.577,98.577,987.48,988.79,-1.2519999999999953,0.0031491903533189536,6.33,6.3,6.33,1654668,1631206521.96,154,1.31,1000,6.0,21.86,2027-10-06,7.816563997262149,2312.0,False,False,False,False,False,False,False,98.748,98.577,98.577,6.33,6.3,6.33
2019-12-13,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,98.9,99.93,98.699,98.787,98.817,98.817,987.87,989.35,-1.2129999999999939,0.0003949447077409296,6.29,6.3,6.29,569262,562649146.12,201,1.48,1000,6.0,21.86,2027-10-06,7.813826146475017,2311.0,False,False,False,False,False,False,False,98.787,98.817,98.817,6.29,6.3,6.29
2019-12-16,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.0,99.071,98.78,98.898,98.779,98.779,988.98,990.95,-1.1020000000000039,0.0011236296273799962,6.3,6.28,6.3,108909,107608348.54,186,1.97,1000,6.0,21.86,2027-10-06,7.8056125941136205,2308.0,False,False,False,False,False,False,False,98.898,98.779,98.779,6.3,6.28,6.3
2019-12-17,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,98.999,98.999,98.85,98.95,98.959,98.959,989.5,991.64,-1.0499999999999972,0.0005257942526644133,6.27,6.27,6.27,5052,4999391.98,108,2.14,1000,6.0,21.86,2027-10-06,7.8028747433264884,2308.0,False,False,False,False,False,False,False,98.95,98.959,98.959,6.27,6.27,6.27
2019-12-18,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,98.999,99.0,98.83,98.999,98.965,98.965,989.9899999999999,992.2899999999998,-1.0010000000000048,0.0004951995957553912,6.27,6.26,6.27,5445,5388644.75,94,2.3,1000,6.0,21.86,2027-10-06,7.800136892539356,2307.0,False,False,False,False,False,False,False,98.999,98.965,98.965,6.27,6.26,6.27
2019-12-19,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.899,99.9,98.752,98.798,98.894,98.894,987.98,990.45,-1.2019999999999982,-0.002030323538621537,6.28,6.29,6.28,8958,8858913.81,176,2.47,1000,6.0,21.86,2027-10-06,7.797399041752224,2305.0,False,False,False,False,False,False,False,98.798,98.894,98.894,6.28,6.29,6.28
2019-12-20,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.0,99.0,98.75,98.845,98.861,98.861,988.4499999999999,991.0799999999999,-1.1550000000000011,0.0004757181319459125,6.28,6.29,6.28,5354,5293037.3,147,2.63,1000,6.0,21.86,2027-10-06,7.794661190965092,2304.0,False,False,False,False,False,False,False,98.845,98.861,98.861,6.28,6.29,6.28
2019-12-23,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.889,100.0,98.68,98.75,98.86,98.86,987.5,990.62,-1.25,-0.0009611007132378502,6.28,6.3,6.28,10254,10137055.65,236,3.12,1000,6.0,21.86,2027-10-06,7.786447638603696,2301.0,False,False,False,False,False,False,False,98.75,98.86,98.86,6.28,6.3,6.28
2019-12-24,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.916,99.916,98.801,99.5,99.131,99.131,995.0,998.29,-0.5,0.0075949367088608,6.24,6.18,6.24,10820,10725983.93,263,3.29,1000,6.0,21.86,2027-10-06,7.783709787816564,2301.0,False,False,False,False,False,False,False,99.5,99.131,99.131,6.24,6.18,6.24
2019-12-25,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.848,99.85,98.65,98.99,98.863,98.863,989.9,993.35,-1.0100000000000051,-0.005125628140703609,6.28,6.26,6.28,19959,19771043.59,306,3.45,1000,6.0,21.86,2027-10-06,7.780971937029432,2299.0,False,False,False,False,False,False,False,98.99,98.863,98.863,6.28,6.26,6.28
2019-12-26,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.48,99.84,99.0,99.0,98.912,98.912,990.0,993.62,-1.0,0.00010102030508130078,6.27,6.26,6.27,12910,12799060.82,256,3.62,1000,6.0,21.86,2027-10-06,7.7782340862423,2299.0,False,False,False,False,False,False,False,99.0,98.912,98.912,6.27,6.26,6.27
2019-12-27,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.697,99.697,98.97,99.0,99.025,99.025,990.0,993.78,-1.0,0.0,6.26,6.26,6.26,41690,41283306.15,273,3.78,1000,6.0,21.86,2027-10-06,7.775496235455168,2298.0,False,False,False,False,False,False,False,99.0,99.025,99.025,6.26,6.26,6.26
2019-12-30,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.57,99.578,98.815,99.0,99.021,99.021,990.0,994.27,-1.0,0.0,6.26,6.26,6.26,42779,42360064.47,389,4.27,1000,6.0,21.86,2027-10-06,7.767282683093772,2295.0,False,False,False,False,False,False,False,99.0,99.021,99.021,6.26,6.26,6.26
2020-01-03,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.398,99.698,99.0,99.25,99.395,99.395,992.5,997.43,-0.75,0.002525252525252597,6.19,6.22,6.19,8763,8709985.16,249,4.93,1000,6.0,21.86,2027-10-06,7.756331279945243,2292.0,False,False,False,False,False,False,False,99.25,99.395,99.395,6.19,6.22,6.19
2020-01-06,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.738,99.739,99.25,99.3,99.384,99.384,993.0,998.42,-0.7000000000000028,0.0005037783375314575,6.2,6.21,6.2,8088,8038171.17,273,5.42,1000,6.0,21.86,2027-10-06,7.748117727583847,2289.0,False,False,False,False,False,False,False,99.3,99.384,99.384,6.2,6.21,6.2
2020-01-08,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.63,99.65,98.801,99.395,99.343,99.343,993.95,999.7,-0.605000000000004,0.0009566968781469232,6.2,6.19,6.2,7962,7909646.75,245,5.75,1000,6.0,21.86,2027-10-06,7.742642026009582,2287.0,False,False,False,False,False,False,False,99.395,99.343,99.343,6.2,6.19,6.2
2020-01-09,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.599,99.599,99.002,99.48,99.266,99.266,994.8000000000001,1000.72,-0.519999999999996,0.0008551738014992427,6.22,6.18,6.22,67626,67121881.72,187,5.92,1000,6.0,21.86,2027-10-06,7.73990417522245,2286.0,False,False,False,False,False,False,False,99.48,99.266,99.266,6.22,6.18,6.22
2020-01-10,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.5,99.8,99.381,99.799,99.475,99.475,997.99,1004.07,-0.2009999999999934,0.003206674708484236,6.18,6.12,6.18,157715,157078715.8,202,6.08,1000,6.0,21.86,2027-10-06,7.737166324435318,2285.0,False,False,False,False,False,False,False,99.799,99.475,99.475,6.18,6.12,6.18
2020-01-13,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.99,100.2,99.8,100.19,100.011,100.011,1001.9,1008.47,0.18999999999999773,0.003917874928606402,6.09,6.06,6.09,707891,707880529.78,296,6.57,1000,6.0,21.86,2027-10-06,7.728952772073922,2284.0,False,False,False,False,False,False,False,100.19,100.011,100.011,6.09,6.06,6.09
2020-01-14,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.199,101.0,99.898,99.947,99.901,99.901,999.47,1006.21,-0.05299999999999727,-0.0024253917556641413,6.11,6.1,6.11,45372,45346955.25,285,6.74,1000,6.0,21.86,2027-10-06,7.72621492128679,2283.0,False,False,False,False,False,False,False,99.947,99.901,99.901,6.11,6.1,6.11
2020-01-15,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.29,100.297,99.62,99.749,99.637,99.637,997.49,1004.39,-0.2510000000000048,-0.0019810499564769657,6.15,6.13,6.15,14650,14633460.19,387,6.9,1000,6.0,21.86,2027-10-06,7.723477070499658,2281.0,False,False,False,False,False,False,False,99.749,99.637,99.637,6.15,6.13,6.15
2020-01-16,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.195,100.195,99.84,99.85,99.827,99.827,998.5,1005.57,-0.15000000000000568,0.001012541479112672,6.12,6.12,6.12,11156,11147653.01,249,7.07,1000,6.0,21.86,2027-10-06,7.7207392197125255,2281.0,False,False,False,False,False,False,False,99.85,99.827,99.827,6.12,6.12,6.12
2020-01-17,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.174,100.174,99.9,99.99,99.802,99.802,999.8999999999999,1007.1299999999999,-0.010000000000005116,0.001402103154732215,6.12,6.09,6.12,7769,7767792.12,253,7.23,1000,6.0,21.86,2027-10-06,7.7180013689253935,2280.0,False,False,False,False,False,False,False,99.99,99.802,99.802,6.12,6.09,6.12
2020-01-20,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.0,100.249,99.85,100.049,99.954,99.954,1000.4900000000001,1008.2100000000002,0.049000000000006594,0.0005900590059007005,6.1,6.08,6.1,39046,39065844.93,246,7.72,1000,6.0,21.86,2027-10-06,7.709787816563997,2277.0,False,False,False,False,False,False,False,100.049,99.954,99.954,6.1,6.08,6.1
2020-01-21,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.05,100.2,99.861,99.9,99.856,99.856,999.0000000000001,1006.8900000000001,-0.09999999999999432,-0.0014892702575738381,6.12,6.11,6.12,12040,12038199.09,215,7.89,1000,6.0,21.86,2027-10-06,7.707049965776865,2276.0,False,False,False,False,False,False,False,99.9,99.856,99.856,6.12,6.11,6.12
2020-01-22,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.998,100.998,99.5,99.995,99.82,99.82,999.95,1008.0,-0.0049999999999954525,0.0009509509509508796,6.12,6.09,6.12,6353,6345636.11,217,8.05,1000,6.0,21.86,2027-10-06,7.704312114989733,2275.0,False,False,False,False,False,False,False,99.995,99.82,99.82,6.12,6.09,6.12
2020-01-23,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.399,100.399,99.776,99.999,99.867,99.867,999.9899999999999,1008.2099999999999,-0.0010000000000047748,4.000200009990351e-05,6.11,6.09,6.11,126037,126037045.43,184,8.22,1000,6.0,21.86,2027-10-06,7.701574264202601,2274.0,False,False,False,False,False,False,False,99.999,99.867,99.867,6.11,6.09,6.11
2020-01-24,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.313,100.313,99.81,99.991,100.039,100.039,999.91,1008.29,-0.009000000000000341,-8.000080000791776e-05,6.08,6.09,6.08,10704,10708135.77,195,8.38,1000,6.0,21.86,2027-10-06,7.698836413415469,2273.0,False,False,False,False,False,False,False,99.991,100.039,100.039,6.08,6.09,6.08
2020-01-27,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.09,100.09,99.505,99.61,99.716,99.716,996.1,1004.98,-0.39000000000000057,-0.003810342930863797,6.14,6.16,6.14,20336,20278258.88,337,8.88,1000,6.0,21.86,2027-10-06,7.690622861054073,2269.0,False,False,False,False,False,False,False,99.61,99.716,99.716,6.14,6.16,6.14
2020-01-28,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.99,99.99,99.283,99.869,99.663,99.663,998.6899999999999,1007.7299999999999,-0.13100000000000023,0.0026001405481377304,6.15,6.11,6.15,15801,15747686.78,283,9.04,1000,6.0,21.86,2027-10-06,7.687885010266941,2268.0,False,False,False,False,False,False,False,99.869,99.663,99.663,6.15,6.11,6.15
2020-01-29,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.87,99.993,99.7,99.969,99.801,99.801,999.6899999999999,1008.89,-0.03100000000000591,0.001001311718350939,6.12,6.1,6.12,5633,5621783.06,148,9.2,1000,6.0,21.86,2027-10-06,7.685147159479809,2268.0,False,False,False,False,False,False,False,99.969,99.801,99.801,6.12,6.1,6.12
2020-01-30,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.89,99.89,99.611,99.799,99.797,99.797,997.99,1007.36,-0.2009999999999934,-0.0017005271634205066,6.12,6.12,6.12,62001,61875295.33,262,9.37,1000,6.0,21.86,2027-10-06,7.682409308692677,2267.0,False,False,False,False,False,False,False,99.799,99.797,99.797,6.12,6.12,6.12
2020-01-31,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.799,100.0,99.6,99.839,99.737,99.737,998.39,1007.92,-0.16100000000000136,0.0004008056192947862,6.14,6.12,6.14,26569,26536168.2,322,9.53,1000,6.0,21.86,2027-10-06,7.6796714579055445,2265.0,False,False,False,False,False,False,False,99.839,99.737,99.737,6.14,6.12,6.14
2020-02-03,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,99.92,99.92,99.55,99.877,99.639,99.639,998.77,1008.8,-0.12300000000000466,0.0003806127865864095,6.15,6.11,6.15,16764,16711827.45,291,10.03,1000,6.0,21.86,2027-10-06,7.671457905544147,2262.0,False,False,False,False,False,False,False,99.877,99.639,99.639,6.15,6.11,6.15
2020-02-04,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.8,100.8,99.611,99.95,99.862,99.862,999.5,1009.69,-0.04999999999999716,0.0007308990057772746,6.11,6.1,6.11,34281,34208195.55,236,10.19,1000,6.0,21.86,2027-10-06,7.668720054757015,2262.0,False,False,False,False,False,False,False,99.95,99.862,99.862,6.11,6.1,6.11
2020-02-05,SU26232RMFS7,ОФЗ-ПД 26232,ОФЗ 26232,TQOB,fixed,medium_fixed_selected,long,long,100.119,100.249,99.92,100.148,99.989,99.989,1001.4799999999999,1011.8299999999999,0.14799999999999613,0.00198099049524747,6.09,6.07,6.09,882118,881872372.02,153,10.35,1000,6.0,21.86,2027-10-06,7.665982203969883,2261.0,False,False,False,False,False,False,False,100.148,99.989,99.989,6.09,6.07,6.09
