TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,PLOT_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,PRICE_FOR_ANALYSIS,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD_FOR_ANALYSIS,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,CLOSE_IQR_OUTLIER,PRICE_RETURN_IQR_OUTLIER,YIELD_IQR_OUTLIER,YIELD_EXTREME_LEVEL_FLAG,HARD_DATA_ERROR,ANY_OUTLIER_FLAG,OUTLIER_REPLACED_WITH_DAILY_MEDIAN,CLOSE_RAW,WAPRICE_RAW,PRICE_FOR_ANALYSIS_RAW,YIELDATWAP_RAW,YIELDCLOSE_RAW,YIELD_FOR_ANALYSIS_RAW
2016-05-04,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,96.0501,96.0501,95.2501,95.5993,95.5773,95.5773,955.9929999999999,973.183,-4.4007000000000005,,8.99,8.98,8.99,790250,754926881.03,122,17.19,1000,,,2027-02-03,10.751540041067761,2610.0,False,False,False,False,False,False,False,95.5993,95.5773,95.5773,8.99,8.98,8.99
2016-05-05,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,95.6,95.8,95.355,95.6201,95.6335,95.6335,956.201,973.621,-4.379900000000006,0.00021757481487827413,8.98,8.98,8.98,118606,113335288.6,58,17.42,1000,,,2027-02-03,10.74880219028063,2610.0,False,False,False,False,False,False,False,95.6201,95.6335,95.6335,8.98,8.98,8.98
2016-05-06,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,95.8888,95.9,95.7,95.9,95.777,95.777,959.0000000000001,976.6400000000001,-4.099999999999994,0.0029272088190663847,8.95,8.94,8.95,218341,209180474.86,28,17.64,1000,,,2027-02-03,10.746064339493497,2610.0,False,False,False,False,False,False,False,95.9,95.777,95.777,8.95,8.94,8.95
2016-05-10,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,95.8,95.95,95.29,95.7,95.7496,95.7496,957.0000000000001,975.5300000000001,-4.299999999999997,-0.002085505735140769,8.96,8.97,8.96,27776,26608158.07,56,18.53,1000,,,2027-02-03,10.735112936344969,2606.0,False,False,False,False,False,False,False,95.7,95.7496,95.7496,8.96,8.97,8.96
2016-05-11,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,95.9499,96.5999,95.76,96.45,96.3739,96.3739,964.5,983.26,-3.549999999999997,0.00783699059561127,8.86,8.85,8.86,555283,535147188.88,172,18.76,1000,,,2027-02-03,10.732375085557837,2610.0,False,False,False,False,False,False,False,96.45,96.3739,96.3739,8.86,8.85,8.86
2016-05-12,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,96.6049,97.0989,96.4403,96.6511,96.8391,96.8391,966.511,985.491,-3.3489000000000004,0.002085018144116102,8.79,8.82,8.79,1072369,1038837091.66,163,18.98,1000,,,2027-02-03,10.729637234770705,2612.0,False,False,False,False,False,False,False,96.6511,96.8391,96.8391,8.79,8.82,8.79
2016-05-13,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,96.6927,97.0527,96.5501,96.8601,96.7945,96.7945,968.601,987.801,-3.1398999999999972,0.0021624171892509203,8.8,8.79,8.8,2370626,2294354568.35,128,19.2,1000,,,2027-02-03,10.726899383983573,2611.0,False,False,False,False,False,False,False,96.8601,96.7945,96.7945,8.8,8.79,8.8
2016-05-16,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,97.1276,97.35,96.901,96.9503,97.1553,97.1553,969.503,989.373,-3.0497000000000014,0.00093124000491418,8.74,8.77,8.74,1630814,1584469306.95,101,19.87,1000,,,2027-02-03,10.718685831622176,2611.0,False,False,False,False,False,False,False,96.9503,97.1553,97.1553,8.74,8.77,8.74
2016-05-17,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,97.4576,97.4576,96.5,96.85,96.7168,96.7168,968.4999999999999,988.5999999999999,-3.1500000000000057,-0.0010345506924682724,8.81,8.79,8.81,511937,495013587.73,125,20.1,1000,,,2027-02-03,10.715947980835045,2606.0,False,False,False,False,False,False,False,96.85,96.7168,96.7168,8.81,8.79,8.81
2016-05-18,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,96.7215,97.0,96.2012,96.6347,96.5577,96.5577,966.347,986.667,-3.365300000000005,-0.0022230252968508113,8.83,8.82,8.83,553159,534458014.08,98,20.32,1000,,,2027-02-03,10.713210130047912,2604.0,False,False,False,False,False,False,False,96.6347,96.5577,96.5577,8.83,8.82,8.83
2016-05-19,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,96.535,96.535,95.5804,95.8001,95.915,95.915,958.001,978.5409999999999,-4.1998999999999995,-0.00863664915397877,8.93,8.95,8.93,519414,498540422.46,162,20.54,1000,,,2027-02-03,10.710472279260781,2598.0,False,False,False,False,False,False,False,95.8001,95.915,95.915,8.93,8.95,8.93
2016-05-20,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,96.1489,96.6499,96.1489,96.401,96.5697,96.5697,964.0099999999999,984.7799999999999,-3.5990000000000038,0.006272436041298457,8.83,8.86,8.83,1187989,1147024395.59,121,20.77,1000,,,2027-02-03,10.707734428473648,2602.0,False,False,False,False,False,False,False,96.401,96.5697,96.5697,8.83,8.86,8.83
2016-05-23,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,96.2001,96.5999,96.151,96.3,96.3681,96.3681,963.0,984.44,-3.700000000000003,-0.0010477069739940337,8.86,8.87,8.86,291903,281194830.29,77,21.44,1000,,,2027-02-03,10.699520876112253,2598.0,False,False,False,False,False,False,False,96.3,96.3681,96.3681,8.86,8.87,8.86
