COUPON_TYPE,observations,unique_bonds,date_min,date_max,avg_price,avg_yield,total_value
fixed,13751,9,2016-05-04,2026-04-30,88.8525130826849,11.08007490364337,5055390131616.53
floating,1771,3,2023-05-04,2026-04-30,95.9875570299266,0.0,105316115810.44
