TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,BONDTYPE,BONDSUBTYPE
2023-06-21,SU26243RMFS4,ОФЗ-ПД 26243,ОФЗ 26243,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,0.0,1000,9.8,45.11,2038-05-19,14.910335386721425,,,
2023-06-22,SU26243RMFS4,ОФЗ-ПД 26243,ОФЗ 26243,TQOB,fixed,long_fixed_selected,long,95.0,96.499,94.436,95.65,94.993,956.5,956.77,-4.349999999999994,,10.75,10.65,10.75,102120,97006418.82,1633,0.27,1000,9.8,45.11,2038-05-19,14.907597535934292,2903.0,,
2023-06-23,SU26243RMFS4,ОФЗ-ПД 26243,ОФЗ 26243,TQOB,fixed,long_fixed_selected,long,95.4,95.88,94.871,95.111,95.372,951.11,951.65,-4.888999999999996,-0.0056351280710925655,10.69,10.73,10.69,91439,87207404.17,1176,0.54,1000,9.8,45.11,2038-05-19,14.904859685147159,2905.0,,
2023-06-26,SU26243RMFS4,ОФЗ-ПД 26243,ОФЗ 26243,TQOB,fixed,long_fixed_selected,long,95.25,95.25,94.001,94.307,94.261,943.07,944.4100000000001,-5.692999999999998,-0.008453280903365612,10.86,10.85,10.86,147902,139413214.59,2381,1.34,1000,9.8,45.11,2038-05-19,14.896646132785763,2889.0,,
2023-06-27,SU26243RMFS4,ОФЗ-ПД 26243,ОФЗ 26243,TQOB,fixed,long_fixed_selected,long,94.399,95.493,94.31,95.333,94.816,953.33,954.94,-4.667000000000002,0.01087936208340845,10.77,10.7,10.77,49030,46488082.22,638,1.61,1000,9.8,45.11,2038-05-19,14.89390828199863,2896.0,,
2023-06-28,SU26243RMFS4,ОФЗ-ПД 26243,ОФЗ 26243,TQOB,fixed,long_fixed_selected,long,95.83,95.99,95.1,95.934,95.324,959.3399999999999,961.2199999999999,-4.0660000000000025,0.006304217846915483,10.7,10.61,10.7,15086,14380535.64,672,1.88,1000,9.8,45.11,2038-05-19,14.8911704312115,2901.0,,
2023-06-29,SU26243RMFS4,ОФЗ-ПД 26243,ОФЗ 26243,TQOB,fixed,long_fixed_selected,long,96.077,97.993,95.419,96.101,95.826,961.01,963.16,-3.899000000000001,0.001740780119665608,10.63,10.59,10.63,42582,40804780.6,688,2.15,1000,9.8,45.11,2038-05-19,14.888432580424366,2907.0,,
2023-06-30,SU26243RMFS4,ОФЗ-ПД 26243,ОФЗ 26243,TQOB,fixed,long_fixed_selected,long,96.999,97.5,95.591,97.4,96.64,974.0000000000001,976.4200000000001,-2.5999999999999943,0.013517028959115995,10.51,10.4,10.51,22130,21386515.92,646,2.42,1000,9.8,45.11,2038-05-19,14.885694729637235,2914.0,,
2023-07-03,SU26243RMFS4,ОФЗ-ПД 26243,ОФЗ 26243,TQOB,fixed,long_fixed_selected,long,97.9,99.242,97.5,98.999,98.697,989.9899999999999,993.2099999999999,-1.0010000000000048,0.01641683778234082,10.22,10.18,10.22,10853,10711592.74,744,3.22,1000,9.8,45.11,2038-05-19,14.877481177275838,2940.0,,
2023-07-04,SU26243RMFS4,ОФЗ-ПД 26243,ОФЗ 26243,TQOB,fixed,long_fixed_selected,long,99.322,99.499,98.8,99.465,99.084,994.6500000000001,998.1400000000001,-0.5349999999999966,0.004707118253719722,10.17,10.11,10.17,15747,15602803.07,449,3.49,1000,9.8,45.11,2038-05-19,14.874743326488707,2943.0,,
2023-07-05,SU26243RMFS4,ОФЗ-ПД 26243,ОФЗ 26243,TQOB,fixed,long_fixed_selected,long,99.554,103.0,99.301,100.779,101.367,1007.79,1011.55,0.7789999999999964,0.01321067712260593,9.86,9.94,9.86,26599,26962603.5,633,3.76,1000,9.8,45.11,2038-05-19,14.872005475701574,2970.0,,
